env,label,policy,seed,status,total_steps,final_eval_return,best_eval_return,auc_eval_return,episodes,wall_time_s,steps_per_second
CartPole-v1,topk_boltzmann,topk_boltzmann,0,ok,100000,340.1,380.4,307.565,725,57.765711069107056,1731.1307720312946
CartPole-v1,topk_boltzmann,topk_boltzmann,1,ok,100000,246.73333333333335,361.2,245.99499999999998,853,56.261531829833984,1777.413389711026
CartPole-v1,topk_boltzmann,topk_boltzmann,2,ok,100000,235.5666666666667,440.3,232.185,829,57.323347091674805,1744.489899378594
CartPole-v1,topk_boltzmann,topk_boltzmann,3,ok,100000,301.8666666666667,319.0,274.185,797,56.552557945251465,1768.2666113318871
CartPole-v1,topk_boltzmann,topk_boltzmann,4,ok,100000,269.56666666666666,342.8,258.665,815,55.9585919380188,1787.0356729269138
CartPole-v1,topp_boltzmann,topp_boltzmann,0,ok,100000,312.73333333333335,348.1,293.505,743,60.459452867507935,1654.0010743918244
CartPole-v1,topp_boltzmann,topp_boltzmann,1,ok,100000,225.20000000000002,413.7,246.97000000000003,854,59.32776975631714,1685.5513094582852
CartPole-v1,topp_boltzmann,topp_boltzmann,2,ok,100000,250.16666666666666,261.4,223.70499999999998,835,60.17900800704956,1661.7090130213792
CartPole-v1,topp_boltzmann,topp_boltzmann,3,ok,100000,346.6000000000001,347.8,305.02,754,60.155855894088745,1662.3485529997515
CartPole-v1,topp_boltzmann,topp_boltzmann,4,ok,100000,241.86666666666667,329.3,230.47999999999996,832,59.18913197517395,1689.4993500148573
LunarLander-v3,anneal_k,anneal_k,0,ok,400000,98.89500191228434,184.32130663147345,15.976947194164122,1024,264.8294668197632,1510.4059408624296
LunarLander-v3,anneal_k,anneal_k,1,ok,400000,106.1254577013947,211.02396913125637,38.922114102993945,968,263.53553581237793,1517.8218708416496
LunarLander-v3,anneal_k,anneal_k,2,ok,400000,94.8485468832539,164.4001145296475,10.835105222104477,970,240.3692319393158,1664.1064947155342
LunarLander-v3,anneal_k,anneal_k,3,ok,400000,96.56989568023037,192.3019125410207,31.1137523236123,956,240.24918580055237,1664.9380045436155
LunarLander-v3,anneal_k,anneal_k,4,ok,400000,131.5368754587121,193.66343172439434,32.17189215229306,943,239.43374180793762,1670.608315184169
LunarLander-v3,boltzmann,boltzmann,0,ok,400000,116.66518699578212,196.5082031930096,58.04020157158372,795,257.5645680427551,1553.0086418315152
LunarLander-v3,boltzmann,boltzmann,1,ok,400000,144.5781347862601,233.24318986718714,117.72912210543412,656,258.94349789619446,1544.7385365913008
LunarLander-v3,boltzmann,boltzmann,2,ok,400000,173.4624235479906,230.7034275674529,123.0561002892417,700,255.17778205871582,1567.5345900920204
LunarLander-v3,boltzmann,boltzmann,3,ok,400000,175.4787243843065,232.32440136659642,119.61623986164857,655,270.1519720554352,1480.6480846933073
LunarLander-v3,boltzmann,boltzmann,4,ok,400000,126.84741447462568,226.46281780146165,106.27407000808462,642,269.14565777778625,1486.1841105021674
LunarLander-v3,eps_boltzmann,eps_boltzmann,0,ok,400000,208.93792330699384,239.46988815897242,82.29350690047188,1190,269.4611930847168,1484.443809592436
LunarLander-v3,eps_boltzmann,eps_boltzmann,1,ok,400000,127.51034439267664,192.74615472981256,15.05772132465749,1231,271.3473160266876,1474.1255076967818
LunarLander-v3,eps_boltzmann,eps_boltzmann,2,ok,400000,201.29144376484726,249.15623675299344,61.84501333756485,1296,273.782203912735,1461.0153409660459
LunarLander-v3,eps_boltzmann,eps_boltzmann,3,ok,400000,117.9956778943627,195.65269905653165,0.9938332423679604,1229,269.88454389572144,1482.1152564948397
LunarLander-v3,eps_boltzmann,eps_boltzmann,4,ok,400000,158.96837980776272,195.93145993018297,31.520703761780275,1231,271.1210238933563,1475.3558918298324
LunarLander-v3,eps_greedy,eps_greedy,0,ok,400000,156.52789499864005,211.44691369992947,62.535413236155875,1082,250.9111328125,1594.1899249999026
LunarLander-v3,eps_greedy,eps_greedy,1,ok,400000,223.83044855175058,239.088571225415,53.49832874171925,1053,250.8639259338379,1594.4899152439111
LunarLander-v3,eps_greedy,eps_greedy,2,ok,400000,57.41549669329567,69.09582895646403,-20.749525005992215,909,257.33142709732056,1554.4156596493883
LunarLander-v3,eps_greedy,eps_greedy,3,ok,400000,132.65304601809643,180.7010712466668,18.230686673752253,976,253.28100609779358,1579.273575080309
LunarLander-v3,eps_greedy,eps_greedy,4,ok,400000,207.07252304449057,231.6038838750636,88.62864865261918,1050,255.41553688049316,1566.0754427290644
LunarLander-v3,mixture_anneal,mixture_anneal,0,ok,400000,-20.606138862551095,181.41477932737,11.412714145031225,920,287.66273379325867,1390.5172725205255
LunarLander-v3,mixture_anneal,mixture_anneal,1,ok,400000,138.86188599986806,190.13994459023374,52.65331947007095,902,262.4978737831116,1523.8218665744291
LunarLander-v3,mixture_anneal,mixture_anneal,2,ok,400000,119.43711885784849,213.2966756800168,71.83342377629901,921,264.7180881500244,1511.0414357983234
